1073,なかむら　たげや,0.265,0.686,0.102,0.007,0.204,80
1074,なかむら　ゆーへい,0.211,0.828,0.103,0.011,0.057,25
1075,ナバーロン,0.276,0.800,0.157,0.000,0.043,40
1076,にしうら　なおみぢ,0.242,0.753,0.182,0.000,0.065,30
1077,にしかわ　はるぎ,0.278,0.782,0.133,0.032,0.053,60
1078,にしかわ　りょーま,0.309,0.765,0.167,0.023,0.045,60
1079,のま　たかよじ,0.286,0.817,0.099,0.049,0.035,50
1080,バティスタン,0.242,0.667,0.081,0.000,0.253,60
1081,バレンティーン,0.268,0.697,0.111,0.000,0.192,80
1082,ビシエト,0.348,0.771,0.113,0.004,0.113,90
1083,ひらさわ　たいか,0.213,0.738,0.179,0.024,0.060,25
1084,ひらた　りょーすけ,0.329,0.802,0.129,0.025,0.045,60
1085,ふくだ　しゅーへい,0.264,0.857,0.088,0.044,0.011,35
1086,ふくだ　のぶまざ,0.261,0.762,0.146,0.007,0.086,50
1087,ふくどめ　こーすけ,0.28,0.734,0.165,0.013,0.089,70
1088,ふじおか　ゆーだい,0.23,0.831,0.101,0.034,0.034,20
1089,ふじた　かづや,0.266,0.815,0.123,0.012,0.049,50
1090,ペゲーロン,0.233,0.735,0.092,0.000,0.173,60
1091,ほうじょう　うみや,0.322,0.885,0.092,0.011,0.011,55
1092,マギーイ,0.285,0.743,0.147,0.000,0.110,80
1093,まきはら　だいせい,0.317,0.806,0.122,0.041,0.031,60
1094,まつい　まさど,0.229,0.833,0.117,0.017,0.033,20
1095,まつだ　のぷひろ,0.248,0.696,0.114,0.016,0.174,70
1096,まつやま　りゅーへい,0.302,0.755,0.157,0.013,0.075,70
1097,まる　よしぴろ,0.306,0.684,0.114,0.000,0.202,90
1098,マレーロー,0.201,0.647,0.176,0.015,0.162,55
1099,みねい　ぴろき,0.177,0.755,0.143,0.000,0.102,45
1100,みやざき　としろー,0.318,0.738,0.143,0.000,0.118,90
1101,むね　ゆーま,0.233,0.721,0.186,0.035,0.058,30
1102,メヒアー,0.212,0.738,0.115,0.000,0.148,55
1103,もぎ　えいごろー,0.247,0.809,0.109,0.018,0.064,40
1104,もり　ともやん,0.275,0.714,0.187,0.011,0.088,60
1105,やなぎた　ゆーき,0.352,0.705,0.122,0.021,0.152,100
1106,やまかわ　ほだか,0.281,0.679,0.107,0.004,0.210,90
1107,やまだ　てっと,0.315,0.708,0.129,0.017,0.146,90
1108,やまとん,0.244,0.768,0.192,0.024,0.016,25
1109,ゆうへー,0.318,0.821,0.110,0.006,0.064,70
1110,よう　たいかん,0.245,0.721,0.140,0.023,0.116,60
1111,ようかわ　なおまざ,0.252,0.719,0.167,0.052,0.063,40
1112,よしかわ　なおぎ,0.253,0.777,0.155,0.029,0.039,30
1113,よしだ　まざたか,0.321,0.717,0.161,0.009,0.113,90
1114,レアードー,0.233,0.714,0.095,0.014,0.177,60
1115,ロサリオン,0.242,0.764,0.146,0.000,0.090,40
1116,ロへス,0.288,0.722,0.131,0.000,0.148,90
1117,ロメロン,0.237,0.705,0.121,0.007,0.168,60
1118,わかつき　げんや,0.245,0.846,0.115,0.026,0.013,25
