1030,かねこ　ゆーじ,0.223,0.863,0.088,0.038,0.013,40
1031,かみさと　かづき,0.251,0.738,0.167,0.036,0.060,28
1032,かめい　よじゆき,0.254,0.764,0.143,0.000,0.093,55
1033,かわばた　しんごう,0.259,0.856,0.100,0.011,0.033,55
1034,きくち　りょーすけ,0.233,0.760,0.158,0.006,0.076,45
1035,きょうだ　よーた,0.235,0.840,0.093,0.043,0.025,20
1036,きよだ　いくひろ,0.226,0.819,0.139,0.014,0.028,28
1037,ぎんじー,0.276,0.840,0.099,0.031,0.031,60
1038,くらもと　とじひこ,0.232,0.869,0.115,0.000,0.016,15
1039,くりやま　たぐみ,0.256,0.743,0.171,0.010,0.076,55
1040,くわばら　まさゆぎ,0.261,0.723,0.175,0.036,0.066,45
1041,ゲレーロー,0.244,0.686,0.167,0.000,0.147,60
1042,げんだ　そーすけ,0.278,0.805,0.132,0.044,0.020,48
1043,こばやし　せーじ,0.219,0.841,0.130,0.000,0.029,33
1044,こやの　えーいち,0.209,0.828,0.155,0.000,0.017,30
1045,こんどー　けんすけ,0.323,0.784,0.153,0.016,0.047,70
1046,さかぐち　ともだか,0.317,0.847,0.116,0.021,0.016,78
1047,さかもと　はやど,0.345,0.764,0.136,0.010,0.090,75
1048,しばた　たづひろ,0.219,0.845,0.103,0.000,0.052,53
1049,しま　もどひろ,0.206,0.833,0.154,0.013,0.000,18
1050,しまうち　ひろあぎ,0.292,0.793,0.110,0.021,0.076,80
1051,しみず　ゆーし,0.215,0.754,0.123,0.000,0.123,38
1052,すずき　せーや,0.32,0.678,0.161,0.010,0.151,80
1053,すずき　だいぢ,0.266,0.756,0.161,0.036,0.048,65
1054,ソット,0.31,0.694,0.086,0.000,0.220,65
1055,たかはし　しゅーへい,0.254,0.738,0.174,0.013,0.074,40
1056,たなか　かづき,0.265,0.789,0.077,0.007,0.127,45
1057,たなか　こーすけ,0.262,0.794,0.101,0.053,0.053,60
1058,たなか　じゅんた,0.241,0.833,0.091,0.045,0.030,35
1059,たむら　たづひろ,0.239,0.805,0.114,0.057,0.024,38
1060,ちょうの　ひざよし,0.29,0.793,0.114,0.000,0.093,65
1061,つつごう　よじとも,0.295,0.670,0.151,0.005,0.174,80
1062,つるおか　じんや,0.243,0.841,0.130,0.000,0.029,33
1063,ティーおかた,0.225,0.736,0.121,0.000,0.143,40
1064,デスパイネン,0.238,0.683,0.106,0.007,0.204,60
1065,とのさき　しゅーた,0.287,0.743,0.137,0.017,0.103,65
1066,とりたに　だがし,0.232,0.810,0.175,0.000,0.016,53
1067,なかしま　たぐや,0.261,0.872,0.094,0.026,0.009,28
1068,なかじま　ひろゆぎ,0.289,0.844,0.091,0.000,0.065,65
1069,なかた　しょー,0.265,0.715,0.160,0.000,0.125,60
1070,なかたに　まざひろ,0.23,0.797,0.094,0.031,0.078,28
1071,なかむら　あぎら,0.292,0.775,0.147,0.005,0.073,80
1072,なかむら　しょーご,0.284,0.793,0.152,0.015,0.040,70
1073,なかむら　たげや,0.265,0.686,0.102,0.007,0.204,53
1074,なかむら　ゆーへい,0.211,0.828,0.103,0.011,0.057,48
1075,ナバーロン,0.276,0.800,0.157,0.000,0.043,33
1076,にしうら　なおみぢ,0.242,0.753,0.182,0.000,0.065,40
1077,にしかわ　はるぎ,0.278,0.782,0.133,0.032,0.053,70
1078,にしかわ　りょーま,0.309,0.765,0.167,0.023,0.045,55
1079,のま　たかよじ,0.286,0.817,0.099,0.049,0.035,45
1080,バティスタン,0.242,0.667,0.081,0.000,0.253,43
1081,バレンティーン,0.268,0.697,0.111,0.000,0.192,70
1082,ビシエト,0.348,0.771,0.113,0.004,0.113,90
1083,ひらさわ　たいか,0.213,0.738,0.179,0.024,0.060,43
1084,ひらた　りょーすけ,0.329,0.802,0.129,0.025,0.045,75
1085,ふくだ　しゅーへい,0.264,0.857,0.088,0.044,0.011,58
1086,ふくだ　のぶまざ,0.261,0.762,0.146,0.007,0.086,38
1087,ふくどめ　こーすけ,0.28,0.734,0.165,0.013,0.089,70
1088,ふじおか　ゆーだい,0.23,0.831,0.101,0.034,0.034,30
1089,ふじた　かづや,0.266,0.815,0.123,0.012,0.049,55
1090,ペゲーロン,0.233,0.735,0.092,0.000,0.173,53
1091,ほうじょう　うみや,0.322,0.885,0.092,0.011,0.011,58
1092,マギーイ,0.285,0.743,0.147,0.000,0.110,60
1093,まきはら　だいせい,0.317,0.806,0.122,0.041,0.031,53
1094,まつい　まさど,0.229,0.833,0.117,0.017,0.033,40
1095,まつだ　のぷひろ,0.248,0.696,0.114,0.016,0.174,60
1096,まつやま　りゅーへい,0.302,0.755,0.157,0.013,0.075,75
1097,まる　よしぴろ,0.306,0.684,0.114,0.000,0.202,75
1098,マレーロー,0.201,0.647,0.176,0.015,0.162,45
1099,みねい　ぴろき,0.177,0.755,0.143,0.000,0.102,30
1100,みやざき　としろー,0.318,0.738,0.143,0.000,0.118,73
1101,むね　ゆーま,0.233,0.721,0.186,0.035,0.058,28
1102,メヒアー,0.212,0.738,0.115,0.000,0.148,40
1103,もぎ　えいごろー,0.247,0.809,0.109,0.018,0.064,45
1104,もり　ともやん,0.275,0.714,0.187,0.011,0.088,65
1105,やなぎた　ゆーき,0.352,0.705,0.122,0.021,0.152,80
1106,やまかわ　ほだか,0.281,0.679,0.107,0.004,0.210,75
1107,やまだ　てっと,0.315,0.708,0.129,0.017,0.146,80
1108,やまとん,0.244,0.768,0.192,0.024,0.016,30
1109,ゆうへー,0.318,0.821,0.110,0.006,0.064,60
1110,よう　たいかん,0.245,0.721,0.140,0.023,0.116,35
1111,ようかわ　なおまざ,0.252,0.719,0.167,0.052,0.063,28
1112,よしかわ　なおぎ,0.253,0.777,0.155,0.029,0.039,33
1113,よしだ　まざたか,0.321,0.717,0.161,0.009,0.113,90
1114,レアードー,0.233,0.714,0.095,0.014,0.177,48
1115,ロサリオン,0.242,0.764,0.146,0.000,0.090,28
1116,ロへス,0.288,0.722,0.131,0.000,0.148,68
1117,ロメロン,0.237,0.705,0.121,0.007,0.168,50
1118,わかつき　げんや,0.245,0.846,0.115,0.026,0.013,18
